,itemCode,yahooID,itemName,description
10,RH12034,burgundy-taos-table-runner,Burgundy Taos Table Runner,Southwest designs are woven in deep jewel tones on these bold cotton/poly table linens. Machine wash. 13âW x 72âL
11,TICA609,pine-tree-forest-metal-wall-art,Pine Tree Forest Metal Wall Art,"Exclusive - With rich textural detail and 3-D layering, the handcrafted metal Pine Tree Forest Metal Wall Art adds nature-inspired beauty to your room.  Ready to hang.  Size may vary.  Measures approx. 30""W x 2""D x 10Â½""H. ~"
12,YG17239,great-outdoors-bear-wood-wall-sign,Great Outdoors Bear Wood Wall Sign,"This distressed wood sign with typography and burlap details adds rustic character to any room. 11 1/2""W x 1/2""D x 18""H"
13,WL10092,horseshoe-cowboy-hat-rack,Horseshoe Cowboy Hat Rack,"Exclusive - With a rustic horseshoe and scroll design, this cast iron wall-mount rack adds ranch style to your entryway. Measures 3Â¾""W x 8Â¼""D x 11Â¾""H. ~"
14,LMSW926X8,zapotec-rug-3-x-8,Zapotec Rug - 3 x 8,"Accent your hallway with the Zapotec Rug - 3 x 8. This runner features intricate geometrics in shades of midnight blue, ivory, gray and deep salmon for a southwestern addition to your home.
<ul><li>100% New Zealand wool and colorfast Swiss chrome dyes</li>
<li>Hand-knotted</li>
<li> 2'6'W x 8'L</li>
<li>Vacuum regularly without the beater brush; Spot clean with warm soapy water</li>
<li>Midnight blue, ivory, gray and deep salmon</li>
</ul> ~ Ships from the manufacturer. Allow 1 to 2 weeks."
15,VS60000,bear-stepping-stones-set-of-2,Bear Stepping Stones - Set of 2,"A Black Forest Decor Exclusive - Add a whimsical walkway to your cabin with the cast iron Bear Stepping Stones in a rustic brown finish.  Set of two measure 10""W x 8 1/2""D x 1/2""H each. ~"
16,EE6M380,rustic-metal-horse-with-chain-mane,Rustic Metal Horse with Chain Mane,"Exclusive - A unique combination of gears, a horseshoe, machinery and chains create this striking metal horse wall sculpture in a rusted finish.  Measures 19Â¾""W x 2Â¼""D x 24Â¾""H. ~"
17,2BG50526,wilderness-retreat-bath-rug,Wilderness Retreat Bath Rug,"Bear, moose and forest foliage add rustic appeal to your bath on this non-slip, premium nylon rug. Machine wash. 33""W x 20""L"
18,AQWJ13,two-horses-wood-panel,Two Horses Wood Panel,"Exclusive - Printed in sepia tones on distressed planked wood, this wall hanging features a nuzzling horse couple.  Measures 15""W x 1Â½""D x 26""H. ~"
19,PS3752,running-horses-metal-wall-art,Running Horses Metal Wall Art,"A Lone Star Western Decor Exclusive - The painted metal Running Horses Metal Wall Art has an old leather-like crackled finish with gleaming gold accents.  Measures 36""W x 14""H. ~"
20,VXLK55716BBZC,montana-pendant-light,Montana Pendant Light,"Light up your home with the Montana Pendant Light.  This metal pendant adds a rustic touch to your dÃ©cor and features bear and pine tree silhouettes finished in burnished bronze and amber flake glass shades.  Uses three 60-watt max candelabra bulbs.  Measures 15 1/2""W x 10 1/2""H. ~ Ships from the manufacturer. Allow 1 week. Cannot express ship or ship to Alaska."
21,YG33152,woodland-bear-metal-wall-art,Woodland Bear Metal Wall Art,"Exclusive - A bear wanders through the pines in this laser-cut metal wall art in a rust finish.  Measures 20Â½""W x Â¼""D x 16""H. ~"
22,CARJB4061,highlands-cabin-bear-and-trees-rod-pocket-valance,Highlands Cabin Bear & Trees Rod Pocket Valance,"A Black Forest Decor Exclusive - Create a classic cabin look with the Highlands Cabin Bear & Trees Rod Pocket Valance featuring an brown bear applique and green pine trees embroidered on woven tan chenille and a rod pocket top.  Dry clean.  Measures 54""W x 15""H with 3"" rod pocket. ~"
23,AT-82868,cabintissuebox,Cabin Tissue Box,"Keep tissues in this rustic wood log cabin that seems to always have an inviting trail of smoke coming from the chimney. 6""W x 7""D x 9 1/2""H ~
"
24,CARJB3007,forest-scene-valance,Forest Scene Valance,"A Black Forest Decor Exclusive - Enhance your windows with the adobe microsuede Forest Scene Valance, embellished with olive green pine tree appliquÃ©s and embroidery and brass rivets at the top.  Machine wash.  Measures 54""W x 15""H with 3"" rod pocket top. ~"
25,CARJB4100,western-paisley-beaumont-bed-set-queen,Western Paisley Beaumont Bed Set - Queen,"A Black Forest Decor Exclusive - Rich brown, caramel and tan paisley woven chenille, rugged distressed faux leather, solid brown chenille and concho accents give the Western Paisley Beaumont Queen Bed Set a sophisticated look.  Bed set includes 92""W x 96""L comforter, 60""W x 80""L x 15""H bedskirt, two 20""W x 27""L shams and one 9""W x 20""L neckroll.  Dry clean. ~"
26,DS12381,double-revolver-toilet-paper-holder,Double Revolver Toilet Paper Holder,"A Lone Star Western Decor Exclusive - Painted in lifelike detail, this polyresin gunbelt with a pair of six-shooters gives your bath Wild West spirit.  Measures 8Â¾""W x 4Â½""D x 5Â½""H. ~"
27,DS15109,black-bear-usb-desk-fan,Black Bear USB Desk Fan,"Bring black bear charm to your workspace with this polyresin and metal fan with USB connection. 6 3/4""W x 4 1/3""D x 7 3/4""H"
28,HXWS4001REDK,hxws4001redk,Cheyenne Red Bed Set - Super King,"Add cool comfort to your bedroom with the Cheyenne Red Super King Comforter Set.  Each set includes comforter (110"" x 96""), bedskirt (78"" x 80"" with 18"" drop), two king shams (21"" x 34""), two accent pillows (16"" x 21"") and one neckroll (8"" x 21"").   ~Allow 1 to 2 weeks. Cannot express ship or ship to Alaska or Canada."
29,YG17451,arrow-messages-wood-block-wall-signs-set-of-4,Arrow Messages Wood Block Wall Signs (Set of 4),"Fun typography and dimensional arrows on this four-piece wood sign bring a pleasant prairie feel to any space. 7 1/4""W x 3/4""D x 2""H each"
30,SIX9002,moose-and-deer-antler-bowl-dish,Moose & Deer Antler Bowl / Dish,"Exclusive - A moose antler nests inside a weathered deer antler frame on this unique hand-painted polyresin bowl. Decorative use only, not food safe. Measures 11Â¾""W x 10Â½""D x 2Â¾""H. ~"
31,PK24620B,bear-soap-dispenser,Bear Soap Dispenser,"Keep soap or lotion ready for guests with the painted resin figural pump Bear Soap Dispenser.  Measures 5Â¼""W x 6Â¼""H. ~"
32,PK68080,black-bear-forest-fingertip-towel,Black Bear Forest Fingertip Towel,"Embroidered pines and an appliqued black bear add forest spirit to these 100% cotton terry towels.  Machine wash.  Measures 11""W x 19""L. ~"
33,2VX736425561801,red-river-southwestern-euro-sham,Red River Southwestern Euro Sham - CLEARANCE,"Earthy shades of rust, black and tan give the poly Red River Southwestern Euro Sham with cotton backing a serene look. Dry clean. Measures 26""W x 26""L. ~"
34,BN63080690,woodland-cabin-chair-pad,Woodland Cabin Chair Pad,"Exclusive - Cabin and wildlife collages in three patterns bring outdoor style to these tufted chair pads made from 55% poly/45% rayon.  Reverses to 100% cotton duck.  Latex foam fill will not flatten.  Made in the USA.  Measures 17""W x 15""D x 2Â½""H each. ~"
35,DS13052,horseshoe-door-handles-set-of-2,Horseshoe Door Handles (Set of 2),"Exclusive - Cast iron horseshoes and curves in a rustic brown finish add western style to your doors.  Screws included.  Measures 2Â½""W x 1Â¼""D x 9""H each. ~"
36,DS21883,bear-wall-door-mount-towel-rack,Bear Wall/Door Mount Towel Rack,"Exclusive - Bring outdoor flair to your bath with this metal towel rack featuring a metal art bear and mountain scene in a black finish.  Holds four rolled bath towels.  Measures 8Â¼""W x 3Â¼""D x 26""H. ~"
37,LKRA1127,climbing-black-bears-tissue-box,Climbing Black Bears Tissue Box,"Curious, climbing black bears embellish this polyresin tissue box for lodge charm. 5 1/2""W x 5 1/2""D x 6""H"
38,KE13013F,rather-be-fishing-waste-basket,Rather Be Fishing Waste Basket,"Emblems of fishing life and vintage lodge signs turn your bath into a rustic getaway.  Resin bath accessories and 100% cotton ivory towels.  Measures 11""W x 11""D x 10Â¾""H. ~"
39,PS5453,bear-paw-wilderness-toilet-paper-holder,Bear Paw Wilderness Toilet Paper Holder,"The twisted steel Bear Paw Wilderness Toilet Paper Holder is embellished with a polyresin bear scene in a metallic bear track for abundant rustic style.  Measures 10""W x 3Â¼""D x 6""H. ~"
40,RH19025,southwestern-cibola-lined-valance,Southwestern Cibola Lined Valance,"Give any window Santa Fe style with this cotton-poly tapestry valance in shades of terracotta, red and black. Machine wash. 54""W x 15""H"
41,VXCC55614BBZ,timberland-flush-mount-ceiling-light,Timberland Flush Mount Ceiling Light,"The Timberland Flush Mount Ceiling Light is perfectly suited to your home or lodge.  This metal ceiling light is the perfect lighting element for your cabin decor and features moose and pine tree silhouettes.  Finished in burnished bronze with an amber flake glass shade and uses three 60-watt max bulbs.  Measures 14""W x 14""D x 7""H. ~ Ships from the manufacturer. Allow 1 week. Cannot express ship or ship to Alaska."
42,WG718R,wg718r,Pinecone Toilet Seat - Round,"Delicate pine needles surround two pinecones on this oak veneer seat with a high gloss finish, wood composite core and antique brass hinges. Hardware included. Made in the USA.  Measures 14 1/2""W x 16 1/2""D x 2""H. ~ Ships from the manufacturer.  Allow 1 to 2 weeks.  Cannot express ship."
43,WRWD80101,yellowstone-ii-leather-pillow,Yellowstone II Leather Pillow,"Give your bedroom a tribal update with the Yellowstone II Leather Pillow.  Crafted with stately chocolate leather enhanced by fringe and a corner concho, this accent pillow makes a beautiful accent. <ul><li>Leather and poly fill</li> <li>Deerskin Chocolate leather</li> <li>12""W x 18""L</li> <li>Made in the USA</li> </ul> ~ Ships from the manufacturer. Allow 3 to 5 weeks. Cannot express ship."
44,WL694154,mountain-run-horse-wall-plaque,Mountain Run Horse Wall Plaque,"A Lone Star Western Decor Exclusive - The beautifully detailed bas-relief metal Mountain Run Horse Wall Plaque with a rust finish features galloping horses in a mountain background.  Measures 42""W x 2""D x 21Â½""H. ~"
45,RE616,re616,Bear and Twig Outlet Cover,"A Black Forest Decor Exclusive - The poly-resin Bear and Twig Outlet Cover, featuring lounging black bears, adds a dash of whimsy to the rustic home. 9x5x1~"
46,RE617,re617,Bear and Twig Single Switch Plate Cover,"A Black Forest Decor Exclusive - The poly-resin Bear and Twig Single Switch Plate Cover, featuring lounging black bears, adds a dash of whimsy to the rustic home. ~"
47,VVCL1768,prairie-scroll-table-lamp,Prairie Scroll Table Lamp,Light your homestead in style with this metal scroll lamp in a dark brown finish with laced rawhide shade. UsesÂ one 3-way 100-watt max bulb.Â  Light your homestead in style with this metal scroll lamp in a dark brown finish with laced rawhide shade. UsesÂ one 3-way 100-watt max bulb.
48,KE3801BI,denali-bear-bath-towel,Denali Bear Bath Towel,"Exclusive - A serene brown bear on a patch of greenery and pine trees is embroidered on these 100% cotton ivory towels.  Bath towel and hand towel have brown trim.  Measures 27""W x 50""L. ~"
49,CARJB4102,western-paisley-beaumont-concho-pillow-with-fringe,Western Paisley Beaumont Concho Pillow with Fringe,"A Black Forest Decor Exclusive - Rich brown, caramel and tan paisley woven chenille sides and faux leather fringe frame a rugged distressed faux leather center with a tied concho accent to give the Western Paisley Beaumont Concho Pillow with Fringe a sophisticated look.  Dry clean.  Measures 14""W x 26""L. ~"
50,CARJB4129,bear-tracks-valance,Wildlife Tracks Bear Valance,"A Black Forest Decor Exclusive - A black bear appliquÃ© and embroidered bear tracks embellish the microsuede Bear Tracks Valance in caramel with olive tabs.  Machine wash.  Measures 54""W x 15""H with 3"" tabs. ~"
51,CARJB7000,desert-horizon-southwest-valance,Desert Horizon Southwest Valance,"A Lone Star Western Decor Exclusive - Southwestern diamond stripes in warm red, brown, blue-green, tan and gold woven poly chenille on the rod pocket Desert Horizon Southwest Valance creates a desert look on your windows.  Dry clean.  Measures 54""W x 18""H. ~"
52,DS12745,saddle-paper-towel-holder,Saddle Paper Towel Holder,"A Lone Star Western Decor Exclusive - A colorfully painted saddle scene and cowboy hat finial add charm to the polyresin Saddle Paper Towel Holder with wood rod.  Measures 7Â½""W x 12""H. ~"
53,HOL2573BNU1,pinecone-perch-table-lamp,Pinecone Perch Table Lamp,"An owl rests among the pinecones on the painted polyresin Pinecone Perch Table Lamp with genuine pinecones and burlap rope accents on a sage green linen shade.  Uses one 60-watt max bulb.  Measures 14""W x 14""D x 24""H. ~ Ships from the manufacturer.  Allow 1 week.  Cannot express ship."
54,KM07151000013RT,max-5-realtree-sheet-set-full,Max 5 Realtree Sheet Set - Full,"Cotton/poly blend. Machine wash, tumble dry low.  Include fitted sheet, flat sheet and two pillowcases (twin has one) ~"
55,2CRJP586,wind-river-plush-valance,Wind River Plush Valance,Transform your room into a southwestern retreat with this plush polyester valance. Machine wash. Transform your room into a southwestern retreat with this plush polyester valance. Machine wash.
56,2DD25615,pinecone-hurricane-candle-holder,Pinecone Hurricane Candle Holder,"Exclusive - Detailed pinecones and branches wrap around a glass hurricane on the metal Pinecone Hurricane Candle Holder in a black finish.  Holds one pillar candle (not included).  Measures 9""W x 8Â½""D x 9Â¼""H. ~"
57,2LV56793812,sun-valley-footstool,Sun Valley Footstool,"Exclusive - Southwest-patterned chenille in shades of coral, gold, sage green and blue covers the Sun Valley Footstool with wood bun feet and comfy foam fill. Handcrafted in the USA. Spot clean. Measures 15""W x 12""D x 7""H. ~"
58,WW5227755168,moose-camp-tin-sign,Moose Camp Tin Sign,"Perfect for your outdoor getaway, the humorous Moose Camp Tin Sign has an antiqued finish.  Made in the USA.  Measures 12Â½""W x 16""H. ~"
59,PK15712,walk-in-the-woods-table-runner-36-inch,Walk in the Woods Table Runner - 36 Inch,"Pine boughs, script and stamps create vintage appeal on the scalloped-edge cotton table runners. Machine wash. Measures 13""W x 36""L. ~"
60,PK67527,welcome-to-the-cabin-doormat,Welcome to the Cabin Doormat,"Exclusive - Greet your cabin guests with the durable natural-fiber Welcome to the Cabin Doormat hand-painted with colorfast, nontoxic dyes.  Mildew and skid resistant.  Measures 21Â½""W x 29""L. ~"
61,CARJB5099,starlight-trails-adobe-valance,Starlight Trails Adobe Valance,"A Lone Star Western Decor Exclusive - Give your windows rodeo style with the caramel microsuede Starlight Trails Adobe Valance enhanced with an embroidered star and embroidered dots along the curved bottom.  Dry clean.  Measures 54""W x 18""H with 3"" rod pocket. ~"
62,CARJB6601,rocky-ridge-sofa-cover,Rocky Ridge Sofa Cover,"Protect your furniture in cabin style with rows of rambling bears and moose in rich burgundy, green, gold, tan and black 100% poly woven chenille. Dry clean. Measures 74""W x 170""L. ~"
63,DS15010,black-bears-birch-wall-cross,Black Bears Birch Wall Cross,"Exclusive - Playful bear cubs climb on this polyresin cross featuring bundles of faux birch twigs. Measures 11Â½""W x 2Â¼""D x 17Â¼""H. ~"
64,DS21784,pinecone-metal-curtain-rod,Pinecone Metal Curtain Rod,"A Black Forest Decor Exclusive - Detailed woodland accents add rustic appeal to the wrought iron Pinecone Metal Curtain Rod and bracket set in an antiqued dark brown finish.  Include extendable heavy duty rod, two brackets, screws and drywall anchors.  Measures 48-84""W x 5""D x 6""H. ~"
65,DS22046,moose-fireplace-screen,Moose Fireplace Screen,A metal art moose wanders through dimensional pine trees on this metal mesh three-panel fireplace screen. ~
66,DS62032,black-bear-river-plush-blanket-king,Black Bear River Plush Blanket - King,"Exclusive - Warm up your cabin bedroom with this poly fleece collection featuring bears, trees, canoes and diamonds in shades of toffee, rust, black and green. Machine wash, dry clean pillows. Dimensions available online. Measures 108""W x 90""L. ~"
67,ERMSPR19,moose-jute-trivet,Moose Jute Trivet,"A Black Forest Decor Exclusive - A printed moose design adds charm to the braided 100% natural Moose Jute Trivet in rustic colors.  Measures 10""Dia.. ~"
68,DLART2305,wood-carved-pine-trees-set-of-3,Wood Carved Pine Trees (Set of 3),"A Black Forest Decor Exclusive - Bring fresh woodland detail to your mantel with the handcrafted solid pine carvings in a hand-painted finish. Measures 12"", 16"" and 20""H. ~"
69,LKRA6595,tooled-turquoise-flowers-bath-set-3-pcs,Tooled Turquoise Flowers Bath Set (3 pcs),"Exclusive - A tooled flower design is replicated in cast resin on these western accessories with a two-tone turquoise finish and studded trim. Measures Includes 3""Dia. x 4Â½""H tumbler, 5Â½""W x 4Â¼""D x 1Â¼""H soap dish, and 5""W x 2Â½""D x 4Â½""H toothbrush holder. ~"
70,CARJB3014,bear-wilderness-chenille-brown-bear-faux-fur-pillow,Brown Bear Faux Fur Pillow,"A Black Forest Decor Exclusive - Soft, 100% poly faux brown bear fur adds luxury to the Brown Bear Faux Fur Pillow.  Zipper closure.  Dry clean.  Measures 18""W x 18""L. ~"
71,DS13338,double-ox-yoke-with-horseshoe-coat-rack,Double Ox Yoke with Horseshoe Coat Rack,"Hang your coats with western style with this wooden yoke-shaped rack featuring an iron horseshoe and star center and four iron coat hooks. 33""W x 4 1/2""D x 5""H"
72,DS22070,black-bear-metal-storage-rack-shelf,Black Bear Metal Storage Rack/Shelf,"Exclusive - Perfect for organizing your cabin entry or bath, the black metal wall-mount Black Bear Metal Storage Rack/Shelf features bear and pine tree silhouettes, graceful scrolls and four hooks for hanging.  Measures 12""W x 5""D x 29Â½""H. ~"
73,RE1928,lodge-flatware-set-20-pcs,Lodge Flatware Set (20 pcs),Etched pinecones and five different wildlife designs adorn the handles of this high-quality stainless steel flatware for a rustic accent to your table.  Includes four five-piece place settings.  Dishwasher safe. ~
74,RE561,bear-paw-outlet-cover,Bear Paw Outlet Cover,"Add wild detail to a room with the hand-painted Bear Paw Outlet Cover in detailed polyresin.  Screws included.  Measures 4""W x 1""D x 5""H. ~"
75,RE618,re618,Bear and Twig Double Switch Plate Cover,"A Black Forest Decor Exclusive - The poly-resin Bear and Twig Double Switch Plate Cover, featuring lounging black bears, adds a dash of whimsy to the rustic home. ~"
76,WRWD24551,yellowstone-ii-king-sham,Yellowstone II King Sham,"Make a statement in your bedroom with the Yellowstone II King Sham, adorned with stunning Native American-inspired geometrics in turquoise, red, and shades of brown for a true tribal feel. <ul><li>Acrylic/poly/wool blend</li> <li>Yellowstone fabric</li> <li>20""W x 40""L</li> <li>Blanket stitch on open edge flange</li> <li>Made in the USA</li> </ul> ~ Ships from the manufacturer. Allow 3 to 5 weeks. Cannot express ship."
77,WL20028,turquoise-feather-candle-holder,Turquoise Feather Candle Holder,"Delicate stamped metal feathers in turquoise and gold encompass a glass insert candle holder to create western detail in any room. 4 1/4""W x 4 1/4""D x 5""H"
78,YG16434,crowded-cabin-wood-wall-sign,"""Crowded Cabin"" Wood Wall Sign",A Black Forest Decor exclusive - Show your love for your cabin with this wood shadowbox-style wall art with layered âCabinâ lettering. 7âW x 2âD x 12 1/2âH
79,KE3810FM,pine-haven-fingertip-towel,Pine Haven Fingertip Towel,"Exclusive - These soft mocha 100% cotton towels feature embroidered pine branches and textured linen-like trim with contrast stitching for a beautifully rustic look.  Measures 11""W x 18""L. ~"
80,LROWE03INSG93D0,zigzag-diamonds-rug-9-x-13,Zigzag Diamonds Rug - 9 x 13,"Showcase your southwestern style with the Zigzag Diamonds Rug - 9 x 13, designed with a relaxed, yet refined cream, indigo, sage, and terracotta design with a meticulously hand-knotted texture on a hand-woven base.
<ul><li>Hand woven jute/wool with no backing</li>
<li>9'3""W x 13'L</li>
<li>Spot clean and vacuum carefully without beater bar; professional cleaning recommended.</li>
<li>Multicolor</li>
<li>Long-wearing durability</li>
<li>Rug pad recommended for use on hard floor</li>
</ul> ~ Ships from the manufacturer. Allow 1 week. Cannot express ship."
81,AQJ05,chief-burlap-pillow,Chief Burlap Pillow,"Exclusive - The sepia-tone images printed on these textured burlap pillows beautifully evoke the Old West.  Measures 20""W x 20""H. ~"
82,AQJ20,headdress-burlap-pillow,Headdress Burlap Pillow,"Bring southwest style to your room with the natural Headdress Burlap Pillow, screen-printed with a headdress image in warm, neutral tones.  Spot clean.  Measures 16""W x 16""L. ~"
83,2DD25662,moosebearsaladplate,Bear Lodge Stoneware Salad Plate,"An earthy green glaze with a bear forest scene makes the Moose and Bear Lodge Stoneware Bear Salad Plate the perfect complement to cabin meals.  Microwave and dishwasher safe.  Measures 8Â¼""Dia. ~"
84,DS13207,turquoise-and-hide-wall-cross,Turquoise & Hide Wall Cross,"Exclusive - Bring ranch charm to your wall with the Turquoise & Hide Wall Cross featuring cowhide, scrolls, tooled leather and turquoise stones replicated in polyresin. Measures 8""W x Â¾""D x 12Â¾""H. ~"
85,DS21231,ds21231,Metal Pinecone Toilet Paper Holder,"A Black Forest Decor Exclusive - Delicate pine needles and detailed pinecones combine with gently twisted metal in a rich, dark brown finish to create the Metal Pinecone Toilet Paper Holder.  Measures 7 3/4""W x 3""D x 6 1/2""H. ~"
86,CARJB4101,western-paisley-beaumont-bed-set-king,Western Paisley Beaumont Bed Set - King,"A Black Forest Decor Exclusive - Rich brown, caramel and tan paisley woven chenille, rugged distressed faux leather, solid brown chenille and concho accents give the Western Paisley Beaumont King Bed Set a sophisticated look.  Bed set includes 110""W x 96""L comforter, 76""W x 80""L x 15""H bedskirt, two 20""W x 37""L king shams and one 9""W x 20""L neckroll.  Dry clean. ~"
87,BN63570190,woodland-cabin-table-runner,Woodland Cabin Table Runner,A collage of wildlife scenes are woven into these poly/cotton tapestry linens to create a welcoming table. Handmade in the USA from imported fabric.  Pattern placement may vary.  Spot or dry clean. ~
88,KM07175900015RT,realtree-ap-pink-sheet-set-xl-twin,Realtree AP Pink Sheet Set - XL Twin,"Bring a feminine touch to your camo bedroom with the Realtree AP Pink XL Twin Sheet Set, made from a cotton/poly blend and featuring the Realtree All Purpose camo pattern on a soft pink background. Set includes fitted sheet, flat sheet and one 21""W x 26""L standard pillow case. Machine wash. ~ Ships from the manufacturer. Allow 1 to 2 weeks. Cannot express ship or ship to Alaska or Canada. ~ Ships from the manufacturer. Allow 1 to 2 weeks. Cannot express ship or ship to Alaska or Canada."
89,VXOW50593OA,pinecone-cabin-outdoor-wall-lamp-medium,Pinecone Cabin Outdoor Wall Lamp - Medium,"Add grace and warmth to your home with the Pinecone Cabin Medium Outdoor Wall Lamp.  Combining metal art pinecones with a sleek design, this Mission-inspired wall light perfectly complements your cabin.  Finished in an Old World patina with a rust Scavo glass shade and uses one 100-watt max bulb.  Measures 9 1/4""W x 11 3/4""D x 10 1/4""H. ~ Ships from the manufacturer. Allow 1 week. Cannot express ship or ship to Alaska."
90,RE713,black-bear-checkerboard-set,Black Bear Checkerboard Set,"A Black Forest Decor exclusive - Spend some quality time at the cabin with this detailed, black bear-shaped hand-painted polyresin checkerboard with bear track checkers. 14""W x 11""D x 3""H"
91,LANRTWS24WLF,tapestry-of-the-southwest-metal-wall-art,Southwest Kokopelli Metal Wall Art,"The Southwest Kokopelli Metal Wall Art is the perfect accent for your southwest home, featuring a cut-out design by artist Neil Rose that features kokopelli, pot, coyote and cactus images.<ul><li>24""W x 21""H</li> <li>Laser-cut metal</li> <li>Fusion finish</li> <li>Made in the USA</li> </ul> ~ Ships from the manufacturer. Allow 1 to 2 weeks. Cannot express ship."
92,JYJBMC018,curious-cow-accent-rug,Curious Cow Accent Rug,Add country charm to your room with this fade-resistant recycled polyester rug. Machine wash. Add country charm to your room with this fade-resistant recycled polyester rug. Machine wash.
93,KE13013D,rather-be-fishing-lotion-pump,Rather Be Fishing Lotion Pump,"Emblems of fishing life and vintage lodge signs turn your bath into a rustic getaway.  Resin bath accessories and 100% cotton ivory towels.  Measures 3Â½""W x 3Â½""D x 7Â¼""H. ~"
94,KM07102600244DU,ducks-unlimited-plaid-dark-square-pillow,Ducks Unlimited Plaid Dark Square Pillow,"Cotton/poly blend with Ducks Unlimited logo. Machine wash cold, tumble dry low. ~"
95,MBHS37832X8,vintage-woods-rug-2-x-8,Vintage Woods Rug - 2 x 8,"Exclusive - Reminiscent of weathered barnwood in shades of deep red, black, denim, sage, brass, ivory and tan, these olefin rugs with serged edges add a rustic look to your room.  Stain and fade resistant.  Allow 1 week.  Measures 2'3""W x 7'7""L. ~"
96,LKRA3566,floral-tooled-turquoise-bath-set-3-pcs,Floral Tooled Turquoise Bath Set (3 pcs),"A Lone Star Western Decor Exclusive - With an elegant floral design, these resin accessories capture the look of vintage turquoise tooled leather.  Dimensions available online.  Measures Includes toothbrush holder (4Â½""W x 2""D x 4""H), tumbler (2Â¾""Dia. x 4Â½""H) and soap dish (5Â¾""W x 4Â½""D x 1""H).. ~"
97,PK21793,silver-antler-napkin-ring,Silver Antler Napkin Ring,"Set an elegant rustic table with the aluminum Silver Antler Napkin Ring in a silver finish.  Sold individually.  Measures 2Â½""W x 2Â¾""H. ~"
98,AQW110882,black-bear-wood-panel,Black Bear Wood Panel,"A Black Forest Decor Exclusive - Printed on knotted wood in warm soothing colors, the Black Bear Wood Panel brings rustic beauty to your room.  Measures 23Â½""W x 1""D x 16""H. ~"
99,BN63691360,appalachian-valance,Appalachian Valance,"Exclusive - Display your love of nature with these unlined valances in three cabin-inspired patchwork prints.  Dry clean.  55% poly/45% rayon  Measures 52""W x 15Â½""H each. ~"
100,CL3370SRACA777,adirondack-chair-lake-table-lamp,Adirondack Chair Lake Table Lamp,"Exclusive - Light your cabin with this wood lamp with a hand-painted and stained red Adirondack chair base, metal fishing rod and hand-painted parchment shade.  Uses one 3-way, 100-watt max bulb.  Made in the USA.  Measures 17""W x 27Â½""H. ~   Allow 1 to 2 weeks."
